Plot,Epi,Chip,Length,RidgeW,Temp,DataType,DataNo,Resistance,Ideality,Leakage,Threshold,PowerMax,Rolloff,File,Folder
x,E1,R04C01,250,3,25,LIV,1,,,,21,25.99943,137,E1_R04C01_Ridge_3um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,3,38,IV,1,4.29,3.063765843,-2.64E-07,,,,E1_R04C01_Ridge_3um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,3,38,LIV,1,,,,27,19.15817,123.99,E1_R04C01_Ridge_3um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,3,45,IV,1,4.4,3.101575625,-2.80E-07,,,,E1_R04C01_Ridge_3um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,3,45,LIV,1,,,,32,15.20141,117,E1_R04C01_Ridge_3um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R05C01,250,2,25,IV,1,6.38,3.166382874,-3.32E-07,,,,E1_R05C01_Ridge_2um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2,25,LIV,1,,,,30,16.71829,115,E1_R05C01_Ridge_2um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2,38,IV,1,6.51,3.29892392,-3.63E-07,,,,E1_R05C01_Ridge_2um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2,38,LIV,1,,,,43,8.683437,95,E1_R05C01_Ridge_2um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2,45,IV,1,6.98,3.257736169,-3.81E-07,,,,E1_R05C01_Ridge_2um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2,45,LIV,1,,,,56.99,3.394144,85.01,E1_R05C01_Ridge_2um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.3,25,IV,1,5.4,3.132866942,-3.11E-07,,,,E1_R05C01_Ridge_2.3um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.3,25,LIV,1,,,,28,15.54793,117,E1_R05C01_Ridge_2.3um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.3,38,IV,1,5.96,3.225372288,-3.51E-07,,,,E1_R05C01_Ridge_2.3um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.3,38,LIV,1,,,,39.01,8.637991,101,E1_R05C01_Ridge_2.3um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.3,45,IV,1,5.65,3.202850443,-3.98E-07,,,,E1_R05C01_Ridge_2.3um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.3,45,LIV,1,,,,49,4.250385,86,E1_R05C01_Ridge_2.3um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.5,25,IV,1,4.79,3.114973585,-3.14E-07,,,,E1_R05C01_Ridge_2.5um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.5,25,LIV,1,,,,26,19.90077,123.99,E1_R05C01_Ridge_2.5um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.5,38,IV,1,5.15,3.094844039,-3.69E-07,,,,E1_R05C01_Ridge_2.5um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.5,38,LIV,1,,,,35,12.43427,106,E1_R05C01_Ridge_2.5um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.5,45,IV,1,5.1,3.185861031,-3.94E-07,,,,E1_R05C01_Ridge_2.5um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,2.5,45,LIV,1,,,,43,7.950576,96,E1_R05C01_Ridge_2.5um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,3,25,IV,1,4.25,3.076588614,-3.20E-07,,,,E1_R05C01_Ridge_3um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,3,25,LIV,1,,,,27,21.85005,137.99,E1_R05C01_Ridge_3um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,3,38,IV,1,4.28,3.11508557,-3.68E-07,,,,E1_R05C01_Ridge_3um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,3,38,LIV,1,,,,37,13.7466,117,E1_R05C01_Ridge_3um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,3,45,IV,1,4.26,3.150013478,-4.06E-07,,,,E1_R05C01_Ridge_3um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C01,250,3,45,LIV,1,,,,44,8.93877,107,E1_R05C01_Ridge_3um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C01
x,E1,R05C09,250,2,25,IV,1,6.88,3.24503316,-2.73E-07,,,,E1_R05C09_Ridge_2um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2,25,LIV,1,,,,,0.1143096,89,E1_R05C09_Ridge_2um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2,38,IV,1,7.1,3.301462447,-3.18E-07,,,,E1_R05C09_Ridge_2um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2,38,LIV,1,,,,,0.09789856,88,E1_R05C09_Ridge_2um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2,45,IV,1,7.08,3.329500285,-3.47E-07,,,,E1_R05C09_Ridge_2um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2,45,LIV,1,,,,,0.09055521,87.01,E1_R05C09_Ridge_2um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.3,25,IV,1,5.85,3.1947277,-2.78E-07,,,,E1_R05C09_Ridge_2.3um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.3,25,LIV,1,,,,,0.1232416,93,E1_R05C09_Ridge_2.3um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.3,38,IV,1,6.15,3.185397475,-3.11E-07,,,,E1_R05C09_Ridge_2.3um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.3,38,LIV,1,,,,,0.1047538,94,E1_R05C09_Ridge_2.3um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.3,45,IV,1,6.09,3.292430789,-3.56E-07,,,,E1_R05C09_Ridge_2.3um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.3,45,LIV,1,,,,,0.09664751,94,E1_R05C09_Ridge_2.3um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.5,25,IV,1,5.23,3.187678385,-2.84E-07,,,,E1_R05C09_Ridge_2.5um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.5,25,LIV,1,,,,30,14.01922,106,E1_R05C09_Ridge_2.5um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.5,38,IV,1,5.52,3.230962741,-3.29E-07,,,,E1_R05C09_Ridge_2.5um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.5,38,LIV,1,,,,43,6.33221,87,E1_R05C09_Ridge_2.5um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.5,45,IV,1,5.49,3.262803146,-3.63E-07,,,,E1_R05C09_Ridge_2.5um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,2.5,45,LIV,1,,,,59,1.322305,75,E1_R05C09_Ridge_2.5um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,3,25,IV,1,4.6,3.117572624,-2.92E-07,,,,E1_R05C09_Ridge_3um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,3,25,LIV,1,,,,,0.1571501,89,E1_R05C09_Ridge_3um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,3,38,IV,1,4.73,3.125645184,-3.29E-07,,,,E1_R05C09_Ridge_3um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,3,38,LIV,1,,,,,0.1250238,92,E1_R05C09_Ridge_3um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,3,45,IV,1,4.62,3.229077671,-3.63E-07,,,,E1_R05C09_Ridge_3um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R05C09,250,3,45,LIV,1,,,,,0.113122,94,E1_R05C09_Ridge_3um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R05C09
x,E1,R04C02,400,2.3,25,IV,1,3.36,2.891134248,-3.92E-07,,,,E1_R04C02_Ridge_2.3um_L_400um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.3,25,LIV,1,,,,23,41.47377,219,E1_R04C02_Ridge_2.3um_L_400um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.3,38,IV,1,3.66,2.845944911,-4.43E-07,,,,E1_R04C02_Ridge_2.3um_L_400um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.3,38,LIV,1,,,,28,34.1094,209,E1_R04C02_Ridge_2.3um_L_400um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.3,45,IV,1,3.55,2.985312498,-4.93E-07,,,,E1_R04C02_Ridge_2.3um_L_400um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.3,45,LIV,1,,,,33,29.72852,193,E1_R04C02_Ridge_2.3um_L_400um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.5,25,IV,1,3.08,2.864887151,-4.22E-07,,,,E1_R04C02_Ridge_2.5um_L_400um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.5,25,LIV,1,,,,17,53.28891,258,E1_R04C02_Ridge_2.5um_L_400um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.5,38,IV,1,3.32,2.813504187,-4.59E-07,,,,E1_R04C02_Ridge_2.5um_L_400um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.5,38,LIV,1,,,,20.99,45.83289,232.99,E1_R04C02_Ridge_2.5um_L_400um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.5,45,IV,1,3.2,2.947052664,-4.66E-07,,,,E1_R04C02_Ridge_2.5um_L_400um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,2.5,45,LIV,1,,,,23,41.4131,222,E1_R04C02_Ridge_2.5um_L_400um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,3,25,IV,1,2.79,2.8556935,-4.38E-07,,,,E1_R04C02_Ridge_3um_L_400um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,3,25,LIV,1,,,,31,37.01057,226,E1_R04C02_Ridge_3um_L_400um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,3,38,IV,1,2.67,3.02666447,-4.70E-07,,,,E1_R04C02_Ridge_3um_L_400um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,3,38,LIV,1,,,,39,27.45195,201,E1_R04C02_Ridge_3um_L_400um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,3,45,IV,1,2.86,2.935957759,-5.00E-07,,,,E1_R04C02_Ridge_3um_L_400um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C02,400,3,45,LIV,1,,,,46,21.99638,186.99,E1_R04C02_Ridge_3um_L_400um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C02
x,E1,R04C10,400,2,25,IV,1,4.23,3.182521805,-4.90E-07,,,,E1_R04C10_Ridge_2um_L_400um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2,25,LIV,1,,,,33,29.50775,191.99,E1_R04C10_Ridge_2um_L_400um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2,38,IV,1,4.06,3.382640566,-5.82E-07,,,,E1_R04C10_Ridge_2um_L_400um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2,38,LIV,1,,,,44,22.0996,171,E1_R04C10_Ridge_2um_L_400um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2,45,IV,1,4,3.490122282,-6.75E-07,,,,E1_R04C10_Ridge_2um_L_400um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2,45,LIV,1,,,,54,17.29831,157,E1_R04C10_Ridge_2um_L_400um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.3,25,IV,1,3.53,3.145810447,-4.78E-07,,,,E1_R04C10_Ridge_2.3um_L_400um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.3,25,LIV,1,,,,19,41.57408,209,E1_R04C10_Ridge_2.3um_L_400um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.3,38,IV,1,3.28,3.362611305,-5.93E-07,,,,E1_R04C10_Ridge_2.3um_L_400um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.3,38,LIV,1,,,,24,34.45381,186,E1_R04C10_Ridge_2.3um_L_400um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.3,45,IV,1,3.36,3.471963957,-6.63E-07,,,,E1_R04C10_Ridge_2.3um_L_400um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.3,45,LIV,1,,,,28,30.67304,180,E1_R04C10_Ridge_2.3um_L_400um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.5,25,IV,1,3.17,3.111708217,-5.07E-07,,,,E1_R04C10_Ridge_2.5um_L_400um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.5,25,LIV,1,,,,20,39.05433,226,E1_R04C10_Ridge_2.5um_L_400um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
x,E1,R04C10,400,2.5,38,IV,1,3,3.325982027,-5.97E-07,,,,E1_R04C10_Ridge_2.5um_L_400um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/400um/R04C10
